PeriodKey,SegmentCode,NetSales,OperatingProfit,OperatingMargin,SalesYoYPct,OperatingProfitYoYPct
202401,PPA,4849,1045,0.21550835223757475,,
202401,SAT,2425,326,0.13443298969072165,,
202401,CF,3212,566,0.17621419676214198,,
202402,PPA,6581,1650,0.25072177480626046,,
202402,SAT,3185,571,0.1792778649921507,,
202402,CF,3844,668,0.17377731529656607,,
202403,PPA,5099,1162,0.22788782114140027,,
202403,SAT,3053,496,0.16246315099901737,,
202403,CF,3235,448,0.1384853168469861,,
202404,PPA,4305,657,0.15261324041811847,,
202404,SAT,2306,234,0.10147441457068516,,
202404,CF,2664,328,0.12312312312312312,,
202501,PPA,3067,338,0.11020541245516792,-0.36749845328933806,-0.676555023923445
202501,SAT,1748,124,0.07093821510297482,-0.2791752577319587,-0.6196319018404908
202501,CF,1994,65,0.03259779338014042,-0.37920298879202985,-0.8851590106007067
202502,PPA,5230,1148,0.21950286806883365,-0.20528795015955026,-0.3042424242424242
202502,SAT,2994,574,0.19171676686706746,-0.059968602825745676,0.005253940455341555
202502,CF,2947,379,0.12860536138445877,-0.23335067637877216,-0.4326347305389222
202503,PPA,4273,580,0.1357360168499883,-0.1619925475583448,-0.5008605851979346
202503,SAT,3025,485,0.16033057851239668,-0.0091713069112348,-0.022177419354838745
202503,CF,3059,237,0.07747629944426283,-0.05440494590417311,-0.4709821428571429
202504,PPA,4740,604,0.12742616033755275,0.10104529616724744,-0.08066971080669716
202504,SAT,2457,25,0.010175010175010175,0.06548135299219426,-0.8931623931623932
202504,CF,3382,348,0.1028976936723832,0.26951951951951947,0.060975609756097615
202601,PPA,3163,139,0.04394562124565286,0.031300945549396886,-0.5887573964497042
202601,SAT,2168,196,0.09040590405904059,0.2402745995423341,0.5806451612903225
202601,CF,2670,137,0.05131086142322097,0.3390170511534605,1.1076923076923078
202602,PPA,4503,706,0.15678436597823672,-0.1390057361376673,-0.3850174216027874
202602,SAT,3485,719,0.20631276901004303,0.16399465597862384,0.2526132404181185
202602,CF,3790,561,0.14802110817941952,0.2860536138445877,0.48021108179419536
202603,PPA,3998,527,0.131815907953977,-0.06435759419611509,-0.0913793103448276
202603,SAT,3383,622,0.1838604788649128,0.11834710743801646,0.2824742268041238
202603,CF,3618,436,0.1205085682697623,0.18273945733899977,0.8396624472573839
